route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
30106,2,,באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל,418,2,
30107,2,,כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע,419,2,
30108,2,,באר שבע מרכז-באר שבע<->נהריה-נהריה,42,2,
30109,2,,באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל,420,2,
30110,2,,כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע,421,2,
30111,2,,באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל,422,2,
30112,2,,כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע,423,2,
30113,2,,באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל,424,2,
30114,2,,כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע,425,2,
30115,2,,באר שבע מרכז-באר שבע<->חיפה מרכז-חיפה,426,2,
30116,2,,תל אביב מרכז-תל אביב יפו<->באר שבע מרכז-באר שבע,429,2,
30118,2,,באר שבע מרכז-באר שבע<->נהריה-נהריה,44,2,
30119,2,,חוף הכרמל-חיפה<->כרמיאל-כרמיאל,440,2,
30120,2,,כרמיאל-כרמיאל<->חוף הכרמל-חיפה,441,2,
30121,2,,חוף הכרמל-חיפה<->כרמיאל-כרמיאל,442,2,
30122,2,,כרמיאל-כרמיאל<->חוף הכרמל-חיפה,443,2,
30123,2,,חוף הכרמל-חיפה<->כרמיאל-כרמיאל,444,2,
30124,2,,כרמיאל-כרמיאל<->חוף הכרמל-חיפה,445,2,
30125,2,,חוף הכרמל-חיפה<->כרמיאל-כרמיאל,446,2,
30126,2,,כרמיאל-כרמיאל<->חוף הכרמל-חיפה,447,2,
30127,2,,חוף הכרמל-חיפה<->כרמיאל-כרמיאל,448,2,
30128,2,,כרמיאל-כרמיאל<->חוף הכרמל-חיפה,449,2,
30130,2,,חוף הכרמל-חיפה<->כרמיאל-כרמיאל,450,2,
30131,2,,כרמיאל-כרמיאל<->חוף הכרמל-חיפה,451,2,
